Date, Real Date, Net Count, Capture, Aggressive Capture
Fold 1
02/05/15, ,-107.0, -0.3965183624460601, -0.3642082178964549
01/23/15, ,-105.0, -0.39322293396698543, -0.36168554051434754
01/26/15, ,-106.0, -0.4148975860317813, -0.38336019258171605
10/09/14, ,-71.0, -0.35581436772147274, -0.3392146694598109
10/13/14, ,-70.0, -0.29531006861494147, -0.2837292086217422
08/15/14, ,-37.0, -0.32005090563776994, -0.3058222984612637
02/25/15, ,-115.0, -0.42356452950488677, -0.36356647057676816
10/16/14, ,-68.0, -0.2762039266535659, -0.26371080884785125
08/13/14, ,-30.0, -0.26592344236846294, -0.25007485252263645
11/10/14, ,-99.0, -0.23433424883009718, -0.21413256394212196
12/09/14, ,-104.0, -0.2997305213598578, -0.27469025173674366
07/15/14, ,-3.0, -0.03557552537976581, -0.03572246283198203
10/14/14, ,-70.0, -0.3105937049902418, -0.3001490885347284
10/31/14, ,-91.0, -0.38289945608046516, -0.38286003205820063
10/06/14, ,-67.0, -0.3710620833298917, -0.35520784630049684
07/18/14, ,-10.0, -0.07816732662237208, -0.06655789892006159
08/25/14, ,-46.0, -0.2953666206036468, -0.28119558599180383
07/17/14, ,-5.0, -0.04753511492462454, -0.03121232930439926
09/16/14, ,-67.0, -0.43768866300544695, -0.4217121199394741
12/31/14, ,-104.0, -0.33522432924605533, -0.3013981440111985
09/03/14, ,-55.0, -0.3928299203437786, -0.3827459862745567
03/06/15, ,-114.0, -0.402049042204611, -0.3412317557834892
09/23/14, ,-70.0, -0.46698764000373966, -0.4346392527906864
08/26/14, ,-48.0, -0.3454123990615208, -0.33124136444967783
11/07/14, ,-96.0, -0.3026258745400143, -0.29862296458329435
10/27/14, ,-75.0, -0.2285247820764195, -0.22605061529046122
08/08/14, ,-25.0, -0.10002865855533655, -0.08201490339362451
08/28/14, ,-53.0, -0.3881319185004874, -0.37618246137910716
07/31/14, ,-22.0, -0.11126452974388254, -0.10177629023246591
09/18/14, ,-73.0, -0.4720075085441782, -0.4400491188248155
10/30/14, ,-90.0, -0.38289945608046516, -0.38286003205820063
12/10/14, ,-102.0, -0.2663587078774646, -0.24096087740939118
08/19/14, ,-37.0, -0.2883034126634483, -0.2740764335909716
09/25/14, ,-74.0, -0.5060313473426924, -0.49298045913714383
07/11/14, ,-3.0, -0.047863184337650244, -0.048009663436227965
08/04/14, ,-23.0, -0.11532903301191094, -0.09694580085863756
10/20/14, ,-69.0, -0.3141811767850556, -0.3016815186626418
02/18/15, ,-108.0, -0.39092849963071, -0.34094074390041557
09/12/14, ,-63.0, -0.36235189409210905, -0.3463753460630167
01/22/15, ,-106.0, -0.39754258839463125, -0.36600519494199335
07/16/14, ,-5.0, -0.053903420512003815, -0.054056971471790914
10/29/14, ,-83.0, -0.3299062305526697, -0.32915486289209656
01/05/15, ,-103.0, -0.31905468047203284, -0.2852284951104131
09/05/14, ,-55.0, -0.348387076022554, -0.3380320628110115
03/04/15, ,-115.0, -0.42802364548510136, -0.3672190525610891
11/13/14, ,-95.0, -0.1904023324088908, -0.15702974932935018
07/29/14, ,-21.0, -0.14364052575566869, -0.13463804266750837
08/07/14, ,-23.0, -0.08293592672576264, -0.0645527000643492
03/18/15, ,-120.0, -0.6002508268858575, -0.5396780319794667
03/20/15, ,-122.0, -0.6206105299068507, -0.56003773500046
11/26/14, ,-97.0, -0.20313421084683175, -0.1704600433173537
10/24/14, ,-76.0, -0.25705705069071527, -0.2552304151423413
01/15/15, ,-103.0, -0.35849200333574477, -0.32680735059884247
12/02/14, ,-100.0, -0.22266437035808823, -0.1942239073329807
12/23/14, ,-106.0, -0.3833296011266897, -0.3510220180764031
10/21/14, ,-70.0, -0.3141811767850556, -0.3016815186626418
09/08/14, ,-58.0, -0.3477878632576746, -0.3326709452391468
10/03/14, ,-66.0, -0.3710620833298917, -0.35520784630049684
08/21/14, ,-43.0, -0.2953666206036468, -0.28119558599180383
01/07/15, ,-103.0, -0.3425440700072061, -0.3147247411553522
02/11/15, ,-110.0, -0.40879372603902325, -0.3588035293765347
03/11/15, ,-116.0, -0.4079654851807277, -0.34728738654732805
10/07/14, ,-70.0, -0.3754544698599063, -0.35960729192848967
02/12/15, ,-108.0, -0.40536615891856925, -0.3553759622560807
12/08/14, ,-102.0, -0.22575476868478084, -0.20071449906166677
09/15/14, ,-65.0, -0.3862417176678265, -0.37026517460185365
02/23/15, ,-112.0, -0.4132460010167755, -0.35290895680006446
12/24/14, ,-104.0, -0.34449164475970345, -0.31217470082174253
10/22/14, ,-71.0, -0.2172406665632955, -0.2047410084410978
10/01/14, ,-69.0, -0.4765595306420276, -0.460842878274646
10/08/14, ,-70.0, -0.36705036791805234, -0.3504786811727156
11/20/14, ,-95.0, -0.19642280145085858, -0.1630137911712614
09/09/14, ,-59.0, -0.3548800618392349, -0.3397631438207071
11/05/14, ,-96.0, -0.36759636323625994, -0.3675695115531677
01/27/15, ,-105.0, -0.4130890161931614, -0.38155159719783094
Fold 2
03/17/15, ,-109.0, -1.0145214871404453, -0.7221492966827544
01/06/15, ,-90.0, -0.8283356925555537, -0.7912262716227709
03/13/15, ,-107.0, -1.0085183275827834, -0.7161350586409779
12/03/14, ,-84.0, -0.8438346575617609, -0.8021108554885592
02/24/15, ,-105.0, -1.0109035843453957, -0.7182090377370159
07/24/14, ,-5.0, -0.026592305769424653, -0.021630369960276
08/20/14, ,-16.0, -0.3424898220456773, -0.3442630775345746
02/13/15, ,-101.0, -0.8938685861832533, -0.8011610712068021
09/24/14, ,-34.0, -0.8186014306635526, -0.8164741744713566
01/29/15, ,-97.0, -0.9421767114668204, -0.8494334815317571
12/19/14, ,-89.0, -0.8171786387532664, -0.7793553766836052
09/17/14, ,-31.0, -0.30778784260786224, -0.30597852054844826
01/21/15, ,-93.0, -0.7480928478165959, -0.6541283840661447
09/10/14, ,-20.0, -0.2517302243952552, -0.24945822631998554
